Date,Ticker,Side,Price,Quantity,Fee
2024-05-10,5380,SELL,221666,1,33
2024-05-13,51910,BUY,578755,1,87
2024-05-14,5930,BUY,68970,1,10
2024-05-15,5930,SELL,69720,4,42
2024-05-16,35420,BUY,176949,1,27
2024-05-17,51910,SELL,597890,3,269
2024-05-20,660,BUY,134692,4,81
2024-05-21,5380,BUY,216983,2,65
2024-05-22,660,BUY,130716,2,39
2024-05-23,51910,BUY,564629,3,254
2024-05-24,5930,SELL,71502,3,32
2024-05-27,5930,BUY,71466,4,43
2024-05-28,51910,SELL,576575,2,173
2024-05-29,5930,SELL,70024,2,21
2024-05-30,5930,SELL,69869,2,21
2024-05-31,5930,BUY,67734,2,20
2024-06-03,5380,SELL,226802,2,68
2024-06-04,5380,SELL,216625,1,32
2024-06-05,35420,BUY,177263,3,80
2024-06-06,660,BUY,129609,1,19
2024-06-07,51910,SELL,591548,2,177
2024-06-10,51910,SELL,573141,4,344
2024-06-11,51910,BUY,557355,4,334
2024-06-12,35420,SELL,176807,2,53
2024-06-13,5380,SELL,221866,2,67
2024-06-14,35420,SELL,187883,4,113
2024-06-17,51910,SELL,565385,1,85
2024-06-18,660,SELL,126629,1,19
2024-06-19,5930,BUY,67882,2,20
2024-06-20,5380,BUY,212798,1,32
2024-06-21,5380,BUY,225305,4,135
2024-06-24,35420,SELL,185381,1,28
2024-06-25,5380,SELL,220782,2,66
2024-06-26,51910,BUY,574575,4,345
2024-06-27,51910,SELL,600777,1,90
2024-06-28,35420,SELL,180626,3,81
2024-07-01,51910,SELL,592637,4,356
2024-07-02,660,BUY,128657,4,77
2024-07-03,35420,SELL,180159,3,81
2024-07-04,660,BUY,126783,3,57
2024-07-05,5930,BUY,70881,4,43
2024-07-08,660,BUY,130496,3,59
2024-07-09,5930,BUY,68748,2,21
2024-07-10,5930,BUY,68766,2,21
2024-07-11,660,SELL,134201,2,40
2024-07-12,35420,BUY,187098,4,112
2024-07-15,51910,SELL,577528,3,260
2024-07-16,51910,BUY,580786,3,261
2024-07-17,5930,SELL,70560,1,11
2024-07-18,5930,SELL,70207,1,11
2024-07-19,35420,BUY,173973,3,78
2024-07-22,5380,BUY,221883,3,100
2024-07-23,660,BUY,124571,3,56
2024-07-24,5930,SELL,68974,4,41
2024-07-25,51910,SELL,585863,3,264
2024-07-26,35420,BUY,182160,1,27
2024-07-29,660,SELL,127894,4,77
